#--------------------------------------------------------------------------------
# Auto-generated by Migen (ac70301) & LiteX (2a172148) on 2022-02-10 07:06:25
#--------------------------------------------------------------------------------
csr_base,leds,0x82000000,,
csr_base,switchs,0x82000800,,
csr_base,buttons,0x82001000,,
csr_base,display,0x82001800,,
csr_base,ledRGB_1,0x82002000,,
csr_base,ledRGB_2,0x82002800,,
csr_base,vga_cntrl,0x82003000,,
csr_base,mt_driver,0x82003800,,
csr_base,ir_driver,0x82004000,,
csr_base,servo_driver,0x82004800,,
csr_base,us_driver,0x82005000,,
csr_base,uart_bt,0x82006000,,
csr_base,i2c_master,0x82006800,,
csr_base,ctrl,0x82007000,,
csr_base,timer0,0x82007800,,
csr_base,uart,0x82008000,,
csr_register,leds_out,0x82000000,1,rw
csr_register,switchs_in,0x82000800,1,ro
csr_register,buttons_in,0x82001000,1,ro
csr_register,display_dig_0,0x82001800,1,rw
csr_register,display_dig_1,0x82001804,1,rw
csr_register,display_dig_2,0x82001808,1,rw
csr_register,display_dig_3,0x8200180c,1,rw
csr_register,display_dig_4,0x82001810,1,rw
csr_register,display_dig_5,0x82001814,1,rw
csr_register,display_dig_6,0x82001818,1,rw
csr_register,display_dig_7,0x8200181c,1,rw
csr_register,ledRGB_1_r_enable,0x82002000,1,rw
csr_register,ledRGB_1_r_width,0x82002004,1,rw
csr_register,ledRGB_1_r_period,0x82002008,1,rw
csr_register,ledRGB_1_g_enable,0x8200200c,1,rw
csr_register,ledRGB_1_g_width,0x82002010,1,rw
csr_register,ledRGB_1_g_period,0x82002014,1,rw
csr_register,ledRGB_1_b_enable,0x82002018,1,rw
csr_register,ledRGB_1_b_width,0x8200201c,1,rw
csr_register,ledRGB_1_b_period,0x82002020,1,rw
csr_register,ledRGB_2_r_enable,0x82002800,1,rw
csr_register,ledRGB_2_r_width,0x82002804,1,rw
csr_register,ledRGB_2_r_period,0x82002808,1,rw
csr_register,ledRGB_2_g_enable,0x8200280c,1,rw
csr_register,ledRGB_2_g_width,0x82002810,1,rw
csr_register,ledRGB_2_g_period,0x82002814,1,rw
csr_register,ledRGB_2_b_enable,0x82002818,1,rw
csr_register,ledRGB_2_b_width,0x8200281c,1,rw
csr_register,ledRGB_2_b_period,0x82002820,1,rw
csr_register,vga_cntrl_mem_adr,0x82003000,1,rw
csr_register,vga_cntrl_mem_we,0x82003004,1,rw
csr_register,vga_cntrl_mem_data_w,0x82003008,1,rw
csr_register,vga_cntrl_mem_data_r,0x8200300c,1,ro
csr_register,mt_driver_movimiento,0x82003800,1,rw
csr_register,ir_driver_L,0x82004000,1,ro
csr_register,ir_driver_LC,0x82004004,1,ro
csr_register,ir_driver_C,0x82004008,1,ro
csr_register,ir_driver_RC,0x8200400c,1,ro
csr_register,ir_driver_R,0x82004010,1,ro
csr_register,servo_driver_pos,0x82004800,1,rw
csr_register,us_driver_init,0x82005000,1,rw
csr_register,us_driver_distance,0x82005004,1,ro
csr_register,us_driver_done,0x82005008,1,ro
csr_register,uart_bt_rxtx,0x82006000,1,rw
csr_register,uart_bt_txfull,0x82006004,1,ro
csr_register,uart_bt_rxempty,0x82006008,1,ro
csr_register,uart_bt_ev_status,0x8200600c,1,ro
csr_register,uart_bt_ev_pending,0x82006010,1,rw
csr_register,uart_bt_ev_enable,0x82006014,1,rw
csr_register,uart_bt_txempty,0x82006018,1,ro
csr_register,uart_bt_rxfull,0x8200601c,1,ro
csr_register,i2c_master_w,0x82006800,1,rw
csr_register,i2c_master_r,0x82006804,1,ro
csr_register,ctrl_reset,0x82007000,1,rw
csr_register,ctrl_scratch,0x82007004,1,rw
csr_register,ctrl_bus_errors,0x82007008,1,ro
csr_register,timer0_load,0x82007800,1,rw
csr_register,timer0_reload,0x82007804,1,rw
csr_register,timer0_en,0x82007808,1,rw
csr_register,timer0_update_value,0x8200780c,1,rw
csr_register,timer0_value,0x82007810,1,ro
csr_register,timer0_ev_status,0x82007814,1,ro
csr_register,timer0_ev_pending,0x82007818,1,rw
csr_register,timer0_ev_enable,0x8200781c,1,rw
csr_register,uart_rxtx,0x82008000,1,rw
csr_register,uart_txfull,0x82008004,1,ro
csr_register,uart_rxempty,0x82008008,1,ro
csr_register,uart_ev_status,0x8200800c,1,ro
csr_register,uart_ev_pending,0x82008010,1,rw
csr_register,uart_ev_enable,0x82008014,1,rw
csr_register,uart_txempty,0x82008018,1,ro
csr_register,uart_rxfull,0x8200801c,1,ro
constant,config_clock_frequency,100000000,,
constant,config_cpu_has_interrupt,None,,
constant,config_cpu_reset_addr,0,,
constant,config_cpu_type_picorv32,None,,
constant,config_cpu_variant_standard,None,,
constant,config_cpu_human_name,picorv32,,
constant,config_cpu_nop,nop,,
constant,config_csr_data_width,32,,
constant,config_csr_alignment,32,,
constant,config_bus_standard,wishbone,,
constant,config_bus_data_width,32,,
constant,config_bus_address_width,32,,
constant,timer0_interrupt,1,,
constant,uart_interrupt,0,,
constant,uart_bt_interrupt,2,,
memory_region,rom,0x00000000,24576,cached
memory_region,sram,0x01000000,8192,cached
memory_region,main_ram,0x40000000,16384,cached
memory_region,csr,0x82000000,65536,io
